,股票代码,p-value,时间长度,adf统计量,置信
74,BLK,0.8304589822637163,3997,-0.7604697325004991,"{'1%': -3.4319957562514243, '5%': -2.862267205086051, '10%': -2.5671570992175385}"
75,HRB,0.14775271511029336,3997,-2.378995583699953,"{'1%': -3.431989977946622, '5%': -2.8622646525483564, '10%': -2.56715574035339}"
76,BA,0.8985375204703054,3996,-0.46570208848635836,"{'1%': -3.431989977946622, '5%': -2.8622646525483564, '10%': -2.56715574035339}"
77,BKNG,,0,,
78,BWA,0.02692489720712909,3997,-3.095007120147329,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
79,BXP,0.67756255147271,3996,-1.190748983759302,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
80,BSX,0.5038798790837338,3996,-1.559539172449327,"{'1%': -3.4319936879026813, '5%': -2.862266291403747, '10%': -2.5671566128112553}"
81,BMY,0.9565997233444948,3996,-0.022866139899643145,"{'1%': -3.4319978298121763, '5%': -2.862268121070097, '10%': -2.5671575868492806}"
82,AVGO,,1605,,
83,BR,,2196,,
84,BF.B,,117,,
85,CHRW,0.08039788096374029,3997,-2.6644320361725033,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
86,COG,0.02023083157469788,3997,-3.195770102387448,"{'1%': -3.4319949282875872, '5%': -2.8622668393374067, '10%': -2.567156904508229}"
87,CDNS,0.2824548135971643,3997,-2.0094275352932343,"{'1%': -3.431999076458594, '5%': -2.862268671768981, '10%': -2.5671578800184744}"
88,CPB,0.8539530394886894,3997,-0.6716651410909414,"{'1%': -3.4319945146179958, '5%': -2.8622666566010153, '10%': -2.5671568072270095}"
89,COF,0.1876439513585716,3997,-2.2527966965714987,"{'1%': -3.4319887450134567, '5%': -2.862264107905561, '10%': -2.567155450408488}"
90,CPRI,,0,,
91,CAH,0.42395725733288336,3997,-1.713915836760806,"{'1%': -3.4319887450134567, '5%': -2.862264107905561, '10%': -2.567155450408488}"
92,KMX,0.43204859307802435,3997,-1.6981835803917498,"{'1%': -3.431989977946622, '5%': -2.8622646525483564, '10%': -2.56715574035339}"
93,CCL,0.1763219437389631,3997,-2.2866128730870248,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
94,CAT,0.12699662151326135,3997,-2.4542866405237556,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
95,CBOE,,1390,,
96,CBRE,,0,,
97,CBS,,2528,,
98,CE,,2748,,
99,CELG,0.02937059254135678,3997,-3.0635538995957554,"{'1%': -3.4319974146821197, '5%': -2.862267937688731, '10%': -2.5671574892246736}"
100,CNC,,3529,,
101,CNP,0.3828148037836203,3997,-1.7952654160632795,"{'1%': -3.431999076458594, '5%': -2.862268671768981, '10%': -2.5671578800184744}"
102,CTL,0.015254965685002897,3997,-3.291669802888333,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
103,CERN,0.010798705120037505,3997,-3.4047292297775176,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
104,CF,,2608,,
105,SCHW,0.007321207299928972,3997,-3.526955730464911,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
106,CHTR,,1501,,
107,CVX,0.1561618935875681,3997,-2.3506172813531214,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
108,CMG,,2493,,
109,CB,0.8051940023558993,3997,-0.8461329544823497,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
110,CHD,0.5937336619302299,3997,-1.3759847369238334,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
111,CI,0.4458498281148831,3997,-1.6715063047016485,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
112,XEC,,3333,,
113,CINF,0.6092512219036832,3995,-1.3430562240951693,"{'1%': -3.4319974146821197, '5%': -2.862267937688731, '10%': -2.5671574892246736}"
114,CTAS,0.984225205361625,3997,0.47914358622934056,"{'1%': -3.431998660700255, '5%': -2.862268488110152, '10%': -2.567157782246144}"
115,CSCO,9.779795840151717e-21,3997,-11.355075891951609,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
116,C,,601,,
117,CFG,,311,,
118,CTXS,0.1700777578571514,3996,-2.305882527795102,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
119,CLX,0.9956794471394541,3997,1.157601028489663,"{'1%': -3.431995342165344, '5%': -2.862267022165729, '10%': -2.5671570018383933}"
120,CME,,3282,,
121,CMS,0.9097361275606237,3997,-0.4021682485292866,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
122,KO,0.02397974913565961,3997,-3.136316571575734,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
123,CTSH,0.006592895539775926,3996,-3.55909775946759,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
124,CL,0.10088528506352012,3997,-2.5630125675797237,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
125,CMCSA,0.7616248812285937,3997,-0.976818983416601,"{'1%': -3.431989977946622, '5%': -2.8622646525483564, '10%': -2.56715574035339}"
126,CMA,0.3087291029301948,3997,-1.9504132026231267,"{'1%': -3.431989977946622, '5%': -2.8622646525483564, '10%': -2.56715574035339}"
127,CAG,0.6845726459954765,3997,-1.1742519931834274,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
128,CXO,,2111,,
129,COP,0.006638064408924611,3997,-3.557013245016872,"{'1%': -3.4319941011564126, '5%': -2.862266473956485, '10%': -2.567156709994697}"
130,ED,0.42576248692558877,3997,-1.7103994552284532,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
131,STZ,0.9973893510708131,3997,1.4647566927157798,"{'1%': -3.431992036963141, '5%': -2.862265562109333, '10%': -2.567156224565458}"
132,COO,0.8926720731456153,3997,-0.4966319589088276,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
133,CPRT,0.13262242890276738,3997,-2.4330584455226028,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
134,GLW,0.0007871600654503445,3996,-4.154122315854006,"{'1%': -3.432000741590981, '5%': -2.862269407331276, '10%': -2.567158271601324}"
135,COST,0.9976867054754769,3997,1.5461569918691136,"{'1%': -3.431991624746321, '5%': -2.8622653800145192, '10%': -2.5671561276258172}"
136,COTY,,636,,
137,CCI,0.9895355915923699,3997,0.6850910732511362,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
138,CSX,0.06594342850838193,3997,-2.74895357300544,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
139,CMI,0.3304914145517004,3997,-1.903340191321198,"{'1%': -3.4319949282875872, '5%': -2.8622668393374067, '10%': -2.567156904508229}"
140,CVS,0.9464586009070352,3997,-0.12913057865489436,"{'1%': -3.4319908009332663, '5%': -2.8622650160989567, '10%': -2.5671559338924497}"
141,DHI,0.12563728425219894,3997,-2.45951772538289,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
142,DHR,0.042282156510643466,3997,-2.927136648680692,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
143,DRI,0.46192448738677144,3997,-1.640643648775943,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
144,DVA,0.29019217405423114,3996,-1.9917725187197572,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
145,DE,0.1356416160623432,3997,-2.421932302890489,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
146,DAL,,2175,,
147,XRAY,0.06237763092657104,3997,-2.77205556294855,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
148,DVN,0.03699922919466711,3997,-2.978014268367649,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
149,FANG,,801,,
150,DLR,,2805,,
151,DFS,,2146,,
152,DISCA,,2632,,
153,DISCK,,1827,,
154,DISH,3.20696201408597e-07,3997,-5.873029857153102,"{'1%': -3.431999076458594, '5%': -2.862268671768981, '10%': -2.5671578800184744}"
155,DG,,1535,,
156,DLTR,0.35509938846431127,3997,-1.8517273756564303,"{'1%': -3.431992036963141, '5%': -2.862265562109333, '10%': -2.567156224565458}"
157,D,0.13877565318609109,3997,-2.4105687362196013,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
158,DOV,0.4868922368545349,3997,-1.5934315177751635,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
159,DOW,1.9154998694852474e-06,3997,-5.516951479630662,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
160,DWDP,,0,,
161,DTE,0.8684580834599698,3997,-0.6110826620877072,"{'1%': -3.4319945146179958, '5%': -2.8622666566010153, '10%': -2.5671568072270095}"
162,DRE,,2927,,
163,DUK,0.6062252914330137,3997,-1.3495164524342234,"{'1%': -3.4319949282875872, '5%': -2.8622668393374067, '10%': -2.567156904508229}"
164,DXC,,0,,
165,ETFC,0.5889632286824787,3996,-1.3860125000223977,"{'1%': -3.431989155785145, '5%': -2.8622642893621704, '10%': -2.5671555470083454}"
166,EMN,0.1856625742535406,3997,-2.2586159620601363,"{'1%': -3.4319908009332663, '5%': -2.8622650160989567, '10%': -2.5671559338924497}"
167,ETN,0.007849537955782327,3997,-3.505398056981371,"{'1%': -3.4319887450134567, '5%': -2.862264107905561, '10%': -2.567155450408488}"
168,EBAY,1.6714133376903244e-10,3997,-7.2620752714895085,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
169,ECL,0.9691097398276611,3997,0.1467177764688632,"{'1%': -3.4319908009332663, '5%': -2.8622650160989567, '10%': -2.5671559338924497}"
170,EIX,0.7705792159638681,3997,-0.9513879467002492,"{'1%': -3.4319978298121763, '5%': -2.862268121070097, '10%': -2.5671575868492806}"
171,EW,,3959,,
172,EA,0.034700044279171366,3997,-3.0020860917254417,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
173,EMR,0.049917419877392205,3997,-2.8622483449098164,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
174,ETR,0.21854372427047292,3997,-2.1667235815715076,"{'1%': -3.4319912127364143, '5%': -2.8622651980110834, '10%': -2.567156030734827}"
175,EOG,0.09748357275061992,3997,-2.578683031416938,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
